variant,iou_mean,iou_std,dice_mean,dice_std,bf1_mean,bf1_std,area_mean
Deterministic (T=0),0.9452835570933388,0.02823150542966745,0.9716593508717496,0.014983648089728754,0.6601098619918041,0.2107547966667589,229.5
MC LLM+kNN,0.9479485124968688,0.025779537298736475,0.9730996407050649,0.013610764928841605,0.6760075459222583,0.20113555361731952,222.171875
kNN-only,0.9492051141211562,0.025090883931753096,0.9737744463006083,0.013192463777308582,0.6795762174010345,0.20748267773383872,211.35416666666666
